ileWierzcholkow;ileCzasu;algorytm
20;17ms;SLF
101;15ms;SLF
20;7ms;SLF
101;14ms;SLF
20;15ms;SLF
51;7ms;SLF
20;7ms;SLF
24;1ms;SLF
20;492ms;SLF
19;0ms;SLF
20;14ms;SLF
19;2ms;SLF
53;276ms;SLF
16;0ms;SLF
39;2ms;SLF
95;23ms;SLF
41;0ms;SLF
40;21ms;SLF
27;0ms;SLF
78;17ms;SLF
75;2ms;SLF
45;0ms;SLF
95;161ms;SLF
63;2ms;SLF
55;2ms;SLF
76;2ms;SLF
61;2ms;SLF
2;0ms;SLF
23;0ms;SLF
47;1ms;SLF
4;0ms;SLF
89;19ms;SLF
90;4ms;SLF
77;1ms;SLF
30;0ms;SLF
57;6ms;SLF
28;1ms;SLF
46;1ms;SLF
65;2ms;SLF
91;2ms;SLF
36;0ms;SLF
40;0ms;SLF
98;9ms;SLF
48;0ms;SLF
51;0ms;SLF
24;0ms;SLF
1;0ms;SLF
33;0ms;SLF
31;0ms;SLF
82;1ms;SLF
9;0ms;SLF
76;3ms;SLF
91;5ms;SLF
74;0ms;SLF
93;22ms;SLF
75;1ms;SLF
7;0ms;SLF
57;0ms;SLF
4;0ms;SLF
77;1ms;SLF
17;0ms;SLF
83;0ms;SLF
